name,aliases,primary,secondary,logo
Lawrenceville,"LS,Lawrenceville School",#C04040,#D07060,lawrenceville.png
Memorial,MHS,#F06000,#E0E0E0,memorial.png
Delran,DHS,#503604,#C8880A,delran.svg
Fort Lee,FLHS,#F06000,#202020,fort-lee.png
Dayton,DHS,#004090,#B0B0B0,dayton.png
Trenton,"TCHS,Trenton Central",#E02020,#303030,trenton.png
Eastern,EHS,#900000,#9090C0,eastern.png
Gov. Livingston,"LHS,Livingston",#106020,#101010,gov-livingston.png
Bergen Tech,BTHS,#E0A030,#B01040,bergen-tech.png
Hightstown,HHS,#103050,#F3EAD8,hightstown.png
Cliffside Park,CPHS,#300030,#E0E0E0,cliffside-park.png
Manchester Township,"MRHS,Manchester Regional",#B0B0B0,#300000,manchester-township.png
Westwood,WHS,#800000,#F0C030,westwood.png
Lakeland,"LRHS,Lakeland Regional",#A00000,#400000,lakeland.png
Cinnaminson,CHS,#909090,#C0C0C0,cinnaminson.png
Pope John,"PJXXIII,Pope John XXIII",#203040,#E0E0E0,pope-john.png
Nutley,NHS,#600000,#C0C0C0,nutley.png
Mountain Lakes,MLHS,#203060,#F0D0C0,mountain-lakes.png
Warren Hills,"WHRHS,Warren Hills Regional",#C0C0C0,#E0E0E0,warren-hills.png
Carteret,CHS,#034CB2,#F3EAD8,carteret.svg
Jefferson,"JTHS,Jefferson Township",#F0E000,#002050,jefferson.png
Roselle,RHS,#CC0022,#454444,roselle.svg
Leonia,LHS,#600020,#200000,leonia.png
J.P. Stevens,"jp stevens,john p stevens,j p stevens,JPSHS",#006030,#C0C020,j-p-stevens.png
River Dell,RDHS,#202020,#F0E020,river-dell.png
Peddie,PHS,#E0D090,#002050,peddie.png
East Orange,"EOCHS,East Orange Campus",#001030,#C0C0C0,east-orange.png
Somerville,SHS,#F06030,#201010,somerville.png
Hasbrouck Heights,HHHS,#C03030,#D06060,hasbrouck-heights.png
North Bergen,NBHS,#800000,#F0E0E0,north-bergen.png
Kingsway,KHS,#E01020,#701010,kingsway.png
Saddle Brook,SBHS,#002040,#E0E0E0,saddle-brook.png
Brearley,BHS,#203050,#6080B0,brearley.png
Hackensack,HHS,#003060,#B09010,hackensack.png
Life Center,"LCA,Life Center Academy",#E0E0E0,#101010,life-center.png
Barringer,BHS,#001060,#304080,barringer.png
Newton,NHS,#603030,#705060,newton.png
Washington Township,WTHS,#C00000,#F0B0B0,washington-township.png
St. Thomas Aquinas,STAHS,#C02020,#702010,st-thomas-aquinas.png
Secaucus,SHS,#0030C0,#D0E0F0,secaucus.png
Cherry Hill East,CHEHS,#F00000,#E0E0E0,cherry-hill-east.png
Pascack Hills,PHHS,#603010,#E0D0D0,pascack-hills.png
Weehawken,WHS,#D00030,#E0E0E0,weehawken.png
Shabazz,SHS,#F0F000,#C0C0C0,shabazz.png
Allentown,AHS,#101010,#B0B0B0,allentown.png
